Njaan Marykkutty,Ennullil Ennum Nee Maathram	,https://www.malayalachalachithram.com/song.php?i=23426
Njaan Marykkutty,Kaanaa Kadalaasilaaro	,https://www.malayalachalachithram.com/song.php?i=23427
Orange Valley,Mazha Nanayum,https://www.malayalachalachithram.com/song.php?i=23417
Kumbalangi Nights,Cheraathukal,https://www.malayalachalachithram.com/song.php?i=24065
Theekkuchiyum Panithulliyum,Akalangal Izha Neythu,https://www.malayalachalachithram.com/song.php?i=23560
Mikhael,Novinte,https://www.malayalachalachithram.com/song.php?i=24085
Madhuraraja,Moha Munthiri,https://www.malayalachalachithram.com/song.php?i=24192
Thaamara,Minnum Ponnin,https://www.malayalachalachithram.com/song.php?i=23850
Thaamara,Vaave,https://www.malayalachalachithram.com/song.php?i=23851
Ente Ummaante Peru,Madhu Chandrika Poloru,https://www.malayalachalachithram.com/song.php?i=23983
Thottappan,Praanthankandalin,https://www.malayalachalachithram.com/song.php?i=24324
Thottappan,Kaayale,https://www.malayalachalachithram.com/song.php?i=24429
Zam Zam,Kili Penne,https://www.malayalachalachithram.com/song.php?i=24071
Pathinettam Padi,Mazhayodu,https://www.malayalachalachithram.com/song.php?i=24493
